satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Department,salary
0.49,0.49,4,256,,support,low
0.99,0.79,4,213,,support,low
0.96,0.73,3,193,,support,high
0.7,0.57,3,179,,support,low
0.22,0.89,6,278,,support,medium
0.91,0.52,3,256,,support,high
0.18,0.76,5,173,,support,medium
0.84,0.68,4,179,,technical,high
0.66,0.38,4,145,,technical,medium
0.49,0.65,3,168,,technical,medium
0.88,0.89,4,213,,management,medium
0.69,0.91,6,150,,IT,medium
0.83,0.75,3,262,,IT,medium
0.56,0.84,4,149,,IT,medium
0.95,0.77,5,139,,IT,medium
0.56,1,3,272,,IT,medium
0.93,0.73,3,252,,product_mng,high
0.84,0.52,3,232,,product_mng,low
0.84,0.48,3,266,,product_mng,medium
0.52,0.65,4,264,,product_mng,medium
0.98,0.8,4,142,,IT,medium
0.66,0.64,5,208,,RandD,medium
0.92,0.49,5,178,,RandD,medium
0.71,0.8,5,192,,RandD,medium
0.65,0.92,4,242,,RandD,medium
0.23,0.47,4,277,,RandD,medium
0.71,0.97,3,173,,marketing,medium
0.21,0.65,4,276,,marketing,high
0.7,0.72,2,189,,sales,low
0.9,0.5,4,139,,accounting,low
0.6,0.52,5,140,,support,low
0.58,0.63,5,191,,technical,high
0.73,0.72,5,178,,management,low
0.56,0.67,4,184,,marketing,low
0.97,0.57,3,144,,marketing,low
0.92,0.91,3,160,,marketing,high
0.77,0.68,3,225,,sales,low
0.97,0.81,5,266,,sales,low
0.7,0.69,5,154,,sales,low
0.78,0.82,4,142,,sales,low
0.77,0.87,3,207,,sales,low
0.66,0.53,4,162,,sales,low
0.25,0.98,6,287,,sales,low
0.89,0.87,2,270,,sales,medium
0.15,0.66,5,160,,sales,medium
0.26,0.91,6,113,,sales,medium
0.74,0.58,4,178,,sales,medium
0.52,0.83,3,153,,sales,medium
0.95,0.62,4,255,,sales,medium
0.66,0.82,4,257,,sales,medium
0.79,0.66,4,243,,sales,medium
0.98,0.94,3,179,,sales,medium
0.4,0.37,3,123,,sales,medium
1,0.68,3,132,,sales,medium
0.71,0.79,3,134,,sales,medium
0.48,0.45,3,277,,accounting,high
0.76,1,5,265,,accounting,low
0.61,0.62,4,269,,accounting,medium
0.74,0.9,4,156,,hr,medium
0.24,0.94,6,237,,hr,medium
0.79,0.97,3,271,,hr,medium
0.75,0.98,3,206,,hr,low
0.6,0.98,4,192,,technical,low
0.72,0.95,4,230,,technical,low
1,0.6,4,261,,technical,low
0.55,0.88,3,173,,technical,low
0.3,0.98,2,109,,technical,low
0.89,0.59,3,247,,technical,low
0.84,0.84,5,163,,technical,low
0.67,0.64,4,149,,technical,low
0.15,0.48,6,218,,technical,low
0.59,0.75,4,194,,technical,low
0.5,0.59,4,157,,technical,low
0.23,0.68,5,244,,support,low
0.95,0.58,5,169,,support,low
0.31,0.53,2,146,,support,low
0.47,0.55,5,207,,support,low
0.26,0.95,3,195,,support,low
0.55,0.64,6,148,,support,low
0.89,0.58,3,272,,support,low
0.88,0.68,3,185,,support,low
0.98,0.62,5,260,,support,low
0.96,0.48,3,182,,support,medium
0.85,0.65,3,195,,support,medium
0.96,0.85,3,168,,technical,medium
0.85,0.88,3,198,,technical,medium
0.59,0.93,5,172,,technical,medium
0.51,0.5,4,216,,management,medium
0.5,0.75,3,232,,IT,medium
0.53,0.59,3,148,,IT,medium
0.44,0.83,4,210,,IT,medium
0.99,0.55,3,197,,IT,medium
0.73,0.83,4,241,,IT,medium
0.51,0.71,5,154,,product_mng,medium
0.5,0.84,3,259,,product_mng,high
0.52,0.76,4,106,,product_mng,low
0.74,0.74,5,262,,product_mng,medium
0.69,0.89,2,202,,IT,medium
0.22,0.65,5,174,,RandD,medium
0.49,0.89,4,240,,RandD,medium
0.7,0.57,5,247,,RandD,low
0.68,0.63,4,148,,RandD,low
0.66,0.84,5,187,,RandD,low
0.99,0.58,4,183,,marketing,low
0.88,0.59,4,240,,sales,low
0.2,0.54,4,149,,accounting,low
0.56,0.44,2,130,,support,low
0.68,0.85,4,203,,technical,low
0.85,0.6,3,218,,management,low
0.95,0.95,4,204,,marketing,low
0.6,0.77,4,163,,marketing,low
0.61,0.53,4,183,,marketing,low
0.55,0.55,4,211,,sales,low
0.64,0.78,5,156,,sales,low
0.64,0.6,3,196,,sales,low
0.87,0.54,4,162,,sales,low
0.2,0.9,3,218,,sales,low
0.99,0.64,4,135,,sales,low
0.96,0.7,2,273,,sales,low
0.53,0.65,3,241,,sales,low
0.7,0.39,6,285,,sales,low
0.68,0.61,6,236,,sales,medium
0.96,0.48,4,222,,sales,medium
0.64,0.64,4,242,,sales,medium
0.86,0.65,5,166,,sales,medium
0.87,0.84,3,172,,sales,medium
0.53,0.56,4,249,,sales,medium
0.72,0.98,4,180,,sales,medium
0.83,0.59,4,197,,sales,medium
0.97,0.54,5,185,,sales,medium
0.92,0.76,3,171,,sales,medium
0.82,0.95,6,191,,accounting,medium
0.59,0.56,4,250,,accounting,medium
0.84,0.95,5,199,,accounting,high
0.71,0.84,3,139,,hr,low
0.49,0.98,3,224,,hr,medium
0.78,0.61,3,227,,hr,medium
0.84,0.81,4,198,,hr,medium
0.85,0.96,5,165,,technical,medium
0.87,0.93,4,199,,technical,low
0.94,0.84,5,203,,technical,low
0.82,0.97,4,243,,technical,low
0.78,0.78,3,135,,technical,low
0.47,0.55,4,100,,technical,low
0.5,0.48,2,150,,technical,low
0.75,0.82,4,252,,technical,low
0.36,0.39,3,98,,technical,low
0.91,0.61,3,262,,technical,low
0.87,0.68,3,257,,technical,low
0.97,0.94,3,160,,support,low
0.71,0.65,3,190,,support,low
0.83,0.65,3,231,,support,low
0.42,0.51,3,190,,support,low
0.53,0.51,4,181,,support,low
0.56,0.88,4,273,,support,low
0.26,0.7,5,214,,support,low
0.53,0.49,4,192,,support,low
0.99,0.73,4,224,,support,low
0.48,0.43,3,96,,support,low
0.91,0.5,3,276,,support,low
0.76,0.79,3,162,,technical,medium
0.67,0.8,4,190,,technical,medium
0.58,0.6,4,147,,technical,medium
0.57,0.78,4,143,,management,medium
0.55,0.57,5,280,,IT,medium
0.79,0.49,3,137,,IT,medium
0.48,0.98,3,259,,IT,medium
0.68,0.69,4,176,,IT,medium
0.19,0.64,5,231,,IT,medium
0.99,0.48,3,104,,product_mng,medium
0.3,0.76,5,224,,product_mng,medium
0.81,0.85,4,202,,product_mng,medium
0.58,0.74,4,180,,product_mng,high
0.74,0.61,3,228,,IT,low
0.59,0.74,5,165,,RandD,medium
0.46,0.63,2,177,,RandD,medium
0.58,0.43,3,194,,RandD,medium
0.77,0.95,3,192,,RandD,medium
0.79,0.77,4,171,,RandD,low
0.51,0.95,3,187,,marketing,low
0.7,0.58,3,205,,sales,low
0.84,0.73,5,230,,accounting,low
0.19,0.9,5,172,,support,low
0.9,0.52,4,167,,technical,low
0.19,0.91,5,145,,management,low
0.96,0.53,3,166,,marketing,low
0.87,1,3,148,,marketing,low
0.5,0.89,5,223,,marketing,low
0.88,0.58,2,123,,sales,low
0.55,0.99,3,158,,sales,low
0.89,0.86,3,223,,sales,low
0.58,0.69,3,252,,sales,low
0.58,0.96,5,143,,sales,low
0.34,0.88,5,131,,sales,low
0.54,0.65,5,206,,sales,low
0.59,0.54,4,210,,sales,low
0.88,0.96,4,262,,sales,medium
0.72,0.69,4,147,,sales,medium
0.79,0.75,4,259,,sales,medium
0.51,0.73,4,174,,sales,medium
0.84,0.84,3,150,,sales,medium
0.95,0.67,4,219,,sales,medium
0.58,0.88,5,178,,sales,medium
0.69,0.98,3,269,,sales,medium
0.17,0.64,6,205,,sales,medium
0.81,0.72,3,232,,sales,medium
0.41,0.5,3,193,,sales,medium
0.12,0.42,3,110,,accounting,medium
0.71,0.6,4,208,,accounting,high
0.32,0.69,5,157,,accounting,low
0.83,0.98,5,187,,hr,medium
0.74,0.92,4,226,,hr,medium
0.67,0.85,4,266,,hr,medium
0.85,0.56,3,159,,hr,medium
0.49,0.75,4,259,,technical,low
0.7,0.74,4,150,,technical,low
0.44,0.58,4,152,,technical,low
0.5,0.87,5,245,,technical,low
0.63,0.74,5,227,,technical,low
0.87,0.77,4,261,,technical,low
0.82,0.53,4,162,,technical,low
0.97,0.89,4,193,,technical,low
0.9,0.81,4,144,,technical,low
0.41,0.5,6,151,,technical,low
0.58,0.94,4,225,,technical,low
0.77,0.5,5,170,,support,low
0.89,0.75,4,246,,support,low
0.64,0.72,4,254,,support,low
0.31,0.79,2,193,,support,low
0.6,0.88,4,175,,support,low
0.2,1,3,123,,support,low
0.13,0.6,3,178,,support,low
0.95,0.9,3,259,,support,low
0.15,0.96,5,201,,support,low
0.22,0.98,4,185,,support,low
0.33,0.51,2,166,,support,medium
0.23,0.96,4,213,,technical,medium
0.85,0.79,4,138,,technical,medium
0.79,0.57,3,168,,technical,medium
0.6,0.6,4,197,,management,medium
0.89,0.74,5,220,,IT,medium
0.65,0.92,3,101,,IT,medium
0.61,0.7,4,175,,IT,medium
0.4,0.79,5,181,,IT,medium
0.49,0.57,3,157,,IT,medium
0.95,0.75,3,247,,product_mng,medium
0.85,1,5,244,,product_mng,medium
0.24,0.39,4,152,,product_mng,high
0.85,0.99,5,176,,product_mng,low
0.99,0.98,5,241,,IT,medium
0.49,0.49,4,240,,RandD,medium
0.56,0.73,3,226,,RandD,medium
0.65,0.66,6,240,,RandD,medium
0.62,0.68,3,253,,RandD,low
0.78,0.68,4,174,,RandD,low
0.54,0.7,3,213,,marketing,low
0.61,0.77,4,195,,sales,low
0.49,0.99,6,230,,accounting,low
0.29,0.85,2,248,,support,low
0.64,0.79,4,274,,technical,low
0.93,0.94,4,217,,management,low
0.16,0.66,6,229,,marketing,low
0.68,0.85,5,173,,marketing,low
0.71,0.8,2,146,,marketing,low
0.62,0.82,5,151,,sales,low
0.74,0.75,2,137,,sales,low
0.81,0.5,3,198,,sales,low
0.2,0.82,4,190,,sales,low
0.51,0.91,4,206,,sales,low
0.55,0.99,4,238,,sales,low
0.45,0.41,3,193,,sales,low
0.91,0.61,4,176,,sales,low
0.73,0.59,6,121,,sales,low
0.98,0.88,4,145,,sales,low
0.62,0.65,4,212,,sales,medium
0.57,0.62,3,198,,sales,medium
0.99,0.57,3,189,,sales,medium
0.82,0.68,2,200,,sales,medium
0.24,0.81,4,217,,sales,medium
0.84,0.73,5,245,,sales,medium
0.9,0.55,3,260,,sales,medium
0.13,0.73,5,206,,sales,medium
0.6,0.67,3,249,,sales,medium
0.72,0.87,4,154,,accounting,medium
0.68,0.61,4,147,,accounting,medium
0.51,0.72,3,148,,accounting,medium
0.74,0.58,3,220,,hr,high
0.86,0.73,3,241,,hr,low
0.85,0.51,3,242,,hr,medium
0.63,0.85,2,156,,hr,medium
0.74,0.87,3,155,,technical,medium
0.6,0.5,3,211,,technical,medium
0.69,0.82,4,137,,technical,low
0.56,0.96,2,269,,technical,low
0.5,0.67,2,142,,technical,low
0.84,0.5,5,267,,technical,low
0.93,0.48,5,134,,technical,low
0.12,0.5,5,287,,technical,low
0.52,0.58,4,134,,technical,low
0.6,0.54,3,185,,technical,low
0.71,1,3,181,,technical,medium
0.21,0.81,5,169,,support,medium
0.15,0.84,3,201,,support,medium
0.38,0.55,2,215,,support,medium
0.27,0.86,3,222,,support,medium
0.86,0.64,4,137,,support,medium
0.17,0.52,6,176,,support,medium
0.66,0.69,3,257,,support,medium
0.95,0.51,3,224,,support,medium
0.59,0.92,5,226,,support,medium
0.49,0.61,5,196,,support,medium
0.9,0.88,5,256,,support,medium
0.98,0.81,3,153,,technical,medium
0.52,1,4,221,,technical,medium
0.12,0.95,3,236,,technical,medium
0.91,0.67,5,137,,management,medium
0.99,0.62,4,256,,IT,medium
0.49,0.8,4,161,,IT,medium
0.92,0.51,4,167,,IT,medium
0.21,0.84,3,194,,IT,medium
0.89,0.9,3,231,,IT,medium
0.84,0.81,4,152,,product_mng,medium
0.72,0.68,3,150,,product_mng,medium
0.57,0.46,3,207,,product_mng,medium
0.9,0.69,4,172,,product_mng,medium
0.59,0.75,2,273,,IT,high
0.97,0.69,4,134,,RandD,high
0.56,0.85,3,109,,RandD,high
0.78,0.59,4,124,,RandD,high
0.64,0.72,4,253,,RandD,high
0.58,0.9,5,224,,RandD,high
0.68,0.58,3,217,,marketing,high
0.82,0.73,3,148,,sales,high
0.83,0.78,5,240,,accounting,high
0.49,0.49,2,226,,support,high
0.57,0.95,4,176,,technical,high
0.66,0.93,4,248,,management,high
0.78,0.6,2,206,,marketing,low
0.55,0.8,3,192,,marketing,low
0.98,0.62,3,140,,marketing,low
0.89,0.51,4,141,,sales,low
0.67,0.83,3,220,,sales,low
1,0.49,4,140,,sales,low
0.67,0.44,4,194,,sales,low
0.2,0.98,2,228,,sales,low
0.71,0.87,4,238,,sales,low
0.65,0.91,3,207,,sales,low
0.82,0.82,4,164,,sales,low
0.48,0.89,3,224,,sales,low
0.96,0.9,4,201,,sales,low
0.52,0.63,3,171,,sales,low
0.24,0.78,5,131,,sales,low
0.92,0.95,6,239,,sales,medium
0.66,0.89,3,202,,sales,medium
0.93,0.68,3,137,,sales,medium
0.77,0.59,4,153,,sales,medium
0.6,0.48,4,219,,sales,medium
0.78,0.49,3,194,,sales,medium
0.6,0.53,4,228,,sales,medium
0.31,1,4,177,,accounting,medium
0.49,0.68,3,181,,accounting,medium
0.33,0.95,4,280,,accounting,medium
0.76,0.91,3,133,,hr,medium
0.65,0.63,3,237,,hr,medium
0.88,0.75,5,152,,hr,high
0.52,0.92,5,280,,hr,high
0.48,0.5,6,253,,technical,high
0.2,0.59,5,105,,technical,high
0.93,0.84,3,159,,technical,high
0.55,0.92,4,257,,technical,high
0.73,0.64,3,202,,technical,high
0.57,0.56,3,241,,technical,high
0.63,0.8,3,267,,technical,low
0.23,0.88,4,175,,technical,low
0.93,0.53,3,257,,technical,low
0.78,0.86,4,240,,technical,low
0.75,0.73,5,181,,technical,low
0.61,0.82,3,271,,support,low
0.36,0.97,5,151,,support,low
0.59,0.67,2,168,,support,low
0.78,0.63,4,265,,support,medium
0.93,0.53,5,204,,support,medium
0.67,0.72,4,223,,support,medium
0.52,0.63,4,136,,support,medium
0.69,0.95,5,184,,support,medium
0.25,0.8,5,186,,support,medium
0.4,0.43,3,128,,support,medium
0.98,0.83,5,211,,support,medium
0.92,0.89,4,236,,technical,medium
0.57,0.98,3,214,,technical,medium
0.81,0.52,4,274,,technical,medium
0.56,0.67,5,165,,management,medium
0.86,0.71,5,235,,IT,medium
0.74,0.9,4,189,,IT,medium
0.57,0.61,3,112,,IT,medium
0.9,0.64,3,163,,IT,medium
0.8,0.57,3,162,,IT,medium
0.22,0.8,4,149,,product_mng,medium
0.73,0.84,4,238,,product_mng,medium
0.48,0.47,3,160,,product_mng,medium
0.52,0.94,3,263,,product_mng,medium
0.53,0.71,4,271,,IT,medium
0.97,0.48,4,221,,RandD,medium
0.97,0.54,3,255,,RandD,high
0.54,0.88,4,170,,RandD,low
0.99,0.7,4,190,,RandD,medium
0.79,0.76,4,216,,RandD,medium
0.71,0.54,3,249,,marketing,medium
0.82,0.76,3,174,,sales,medium
0.6,0.7,4,265,,accounting,medium
0.17,0.88,2,206,,support,medium
0.73,0.6,4,222,,technical,medium
0.69,0.54,5,152,,management,medium
0.86,0.61,4,221,,marketing,medium
0.67,0.55,5,239,,marketing,medium
0.25,0.96,6,217,,marketing,low
0.65,0.66,3,164,,sales,low
0.81,0.56,3,142,,sales,low
0.58,0.53,4,181,,sales,low
0.14,0.57,4,207,,sales,low
0.15,0.37,2,167,,sales,low
0.98,0.51,3,243,,sales,low
0.91,0.5,4,231,,sales,high
0.86,0.71,4,250,,sales,low
0.56,0.63,3,145,,sales,high
0.58,0.77,4,190,,sales,high
0.54,0.64,2,128,,sales,low
0.59,0.99,5,254,,sales,low
0.92,0.88,3,145,,sales,high
0.82,0.8,4,246,,sales,low
0.86,0.68,5,246,,sales,medium
0.66,0.77,5,236,,sales,high
0.85,0.66,3,234,,sales,medium
0.8,0.6,3,247,,sales,medium
0.99,0.61,3,154,,sales,medium
0.25,0.45,3,228,,accounting,medium
0.93,0.99,4,209,,accounting,high
0.5,0.54,5,173,,accounting,medium
0.68,0.71,4,206,,hr,medium
0.62,0.87,3,151,,hr,medium
0.99,0.54,4,196,,hr,high
0.93,0.52,3,229,,hr,medium
0.2,0.75,3,235,,technical,high
0.58,0.61,4,200,,technical,low
0.94,0.76,4,261,,technical,medium
0.18,0.54,4,165,,technical,medium
0.18,0.62,3,165,,technical,medium
0.7,0.74,5,255,,technical,medium
0.93,0.92,5,185,,technical,low
0.5,0.76,4,229,,technical,low
0.54,0.71,3,153,,technical,low
0.74,0.63,4,238,,technical,low
0.66,0.67,3,199,,technical,low
0.61,0.87,3,185,,support,low
0.74,0.98,3,196,,support,low
0.48,0.51,4,201,,support,low
0.65,0.84,3,189,,support,low
0.94,0.49,2,250,,support,low
0.91,0.79,4,254,,support,high
0.87,0.65,3,212,,support,low
0.23,0.79,5,196,,support,low
0.4,0.73,4,146,,support,low
0.68,0.85,3,250,,support,low
0.95,0.88,3,266,,support,high
0.63,0.96,4,133,,technical,low
0.47,0.53,4,181,,technical,low
0.2,0.5,6,282,,technical,low
0.72,0.84,2,173,,management,high
0.56,0.57,5,237,,IT,low
0.7,0.74,3,202,,IT,medium
0.59,0.82,3,162,,IT,high
0.78,0.96,3,248,,IT,medium
0.62,0.64,3,165,,IT,high
0.71,0.61,2,216,,product_mng,medium
0.72,0.45,4,143,,product_mng,medium
0.76,0.77,3,254,,product_mng,medium
0.83,0.56,3,186,,product_mng,medium
0.92,0.99,4,245,,IT,medium
0.67,0.77,3,157,,RandD,medium
0.56,0.45,3,184,,RandD,medium
0.91,0.63,4,210,,RandD,medium
0.56,0.86,4,137,,RandD,high
0.72,0.95,3,145,,RandD,low
0.56,0.86,4,181,,marketing,medium
0.92,0.56,3,174,,sales,medium
0.74,0.88,5,183,,accounting,medium
0.88,0.84,4,171,,support,medium
0.69,0.72,2,190,,technical,medium
0.87,0.78,4,142,,management,medium
0.98,0.5,3,198,,marketing,medium
0.9,0.61,3,185,,marketing,medium
0.49,0.87,4,171,,marketing,medium
0.78,0.57,4,264,,sales,high
0.58,0.98,3,175,,sales,low
0.91,0.88,5,210,,sales,low
0.92,0.75,4,212,,sales,low
0.36,0.66,4,97,,sales,high
0.55,0.53,4,214,,sales,low
0.95,0.96,4,244,,sales,low
0.5,0.67,3,246,,sales,low
0.42,0.73,3,115,,sales,high
0.75,0.68,3,237,,sales,low
0.88,0.7,4,146,,sales,low
0.53,0.63,5,159,,sales,low
0.84,0.4,4,246,,sales,low
0.49,0.93,3,226,,sales,low
0.71,0.91,3,261,,sales,low
0.83,0.64,4,242,,sales,low
0.88,0.93,4,177,,sales,medium
0.87,0.53,4,144,,sales,medium
0.43,0.82,2,221,,sales,medium
0.8,0.9,5,265,,accounting,medium
0.32,0.67,5,224,,accounting,medium
0.77,0.56,3,167,,accounting,medium
0.97,0.77,3,245,,hr,medium
0.98,0.63,4,232,,hr,medium
0.62,0.64,5,229,,hr,medium
0.53,0.94,4,128,,hr,medium
0.93,0.49,3,211,,technical,medium
0.51,0.91,4,194,,technical,medium
0.76,0.76,4,214,,technical,high
0.69,0.89,3,216,,technical,low
0.58,0.6,4,222,,technical,medium
0.98,0.77,4,144,,technical,medium
0.58,0.54,3,287,,technical,medium
0.57,0.97,4,224,,technical,medium
0.84,0.79,4,157,,technical,low
0.15,0.67,5,216,,technical,low
0.88,0.72,5,181,,technical,low
0.69,0.99,3,133,,support,low
0.56,0.84,5,154,,support,low
0.49,0.58,3,265,,support,low
0.4,0.45,4,113,,support,low
0.67,0.36,3,280,,support,low
0.79,0.5,3,213,,support,low
0.47,0.44,5,255,,support,low
0.82,0.54,3,243,,support,low
0.82,0.87,3,206,,support,low
0.63,0.57,5,149,,support,low
0.91,0.53,2,273,,support,low
0.89,1,4,226,,technical,low
0.96,0.93,3,238,,technical,low
0.83,0.72,2,226,,technical,low
0.75,0.92,3,199,,management,low
0.75,0.82,5,202,,IT,low
0.41,0.69,2,152,,IT,low
0.96,0.94,3,167,,IT,low
0.58,0.79,4,130,,IT,medium
0.74,0.89,3,229,,IT,medium
0.78,0.74,4,261,,product_mng,medium
0.5,0.72,3,182,,product_mng,medium
1,0.52,4,198,,product_mng,medium
0.85,0.91,3,244,,product_mng,medium
0.82,0.89,4,275,,IT,medium
0.19,0.81,5,245,,RandD,medium
0.9,0.9,3,147,,RandD,medium
0.59,1,4,275,,RandD,medium
0.53,0.46,2,167,,RandD,medium
0.57,0.5,5,149,,RandD,medium
0.85,0.99,4,233,,marketing,high
0.64,0.67,5,167,,sales,low
0.57,0.54,3,159,,accounting,medium
0.86,0.85,2,195,,support,medium
0.6,0.7,5,229,,technical,medium
0.17,0.76,4,199,,management,medium
0.54,0.63,3,174,,marketing,low
0.35,0.78,5,275,,marketing,low
0.92,0.77,5,217,,marketing,low
0.66,1,4,192,,sales,low
0.83,0.9,4,195,,sales,low
0.89,0.86,3,261,,sales,low
0.94,0.61,4,199,,sales,low
0.24,0.85,4,160,,sales,low
0.69,0.8,3,177,,sales,low
0.45,0.46,3,179,,sales,low
0.78,0.93,4,161,,sales,low
0.91,0.38,5,279,,sales,low
0.63,0.65,4,246,,sales,low
0.71,0.8,4,199,,sales,low
0.73,0.69,3,161,,sales,low
0.69,0.52,5,219,,sales,low
0.52,0.57,5,162,,sales,low
0.78,0.66,4,258,,sales,low
0.94,0.69,3,269,,sales,low
0.55,0.73,4,201,,sales,low
0.43,0.38,2,278,,sales,low
0.77,0.66,3,147,,sales,medium
0.59,0.8,5,247,,accounting,medium
0.65,0.54,4,191,,accounting,medium
0.82,0.37,2,280,,accounting,medium
0.31,0.72,2,191,,hr,medium
0.84,0.65,4,264,,hr,medium
0.15,0.4,3,236,,hr,medium
0.64,0.52,4,271,,hr,medium
0.48,0.63,5,129,,technical,medium
0.82,0.58,4,249,,technical,medium
0.99,0.54,3,188,,technical,medium
0.8,0.52,3,147,,technical,medium
0.94,0.92,3,273,,technical,high
0.94,0.81,4,237,,technical,low
0.77,0.79,3,273,,technical,medium
0.48,0.54,3,190,,technical,medium
0.62,0.68,3,226,,technical,medium
0.61,0.9,4,216,,technical,medium
0.27,0.6,6,205,,technical,low
0.89,0.65,3,208,,support,low
0.58,0.81,4,266,,support,low
0.64,0.77,3,249,,support,low
0.73,0.88,5,134,,support,low
0.74,0.85,2,189,,support,low
0.75,0.82,4,143,,support,low
0.78,0.84,4,173,,support,low
0.18,0.95,6,248,,support,low
0.8,0.84,3,186,,support,low
0.89,0.64,5,191,,support,low
0.84,0.5,3,227,,support,low
0.64,0.38,2,269,,technical,low
0.53,0.82,3,254,,technical,low
0.15,0.66,4,180,,technical,low
0.66,0.62,3,144,,management,low
0.49,0.78,5,137,,IT,low
0.78,0.72,3,223,,IT,low
0.39,0.75,5,286,,IT,low
0.9,0.83,3,151,,IT,low
0.96,0.74,5,244,,IT,low
0.63,0.81,4,216,,product_mng,medium
0.63,0.74,4,173,,product_mng,medium
0.89,0.81,3,186,,product_mng,medium
0.93,0.57,2,205,,product_mng,medium
0.87,0.59,4,202,,IT,medium
0.56,0.53,3,189,,RandD,medium
0.97,0.55,4,181,,RandD,medium
0.61,0.51,3,207,,RandD,medium
0.73,0.46,4,240,,RandD,medium
0.61,0.69,2,164,,RandD,medium
0.99,0.71,4,212,,marketing,medium
0.57,0.75,4,151,,sales,medium
0.74,0.96,4,197,,accounting,high
0.86,0.61,5,265,,support,low
0.68,0.72,4,274,,technical,medium
0.66,0.63,3,201,,management,medium
0.86,0.89,3,250,,marketing,medium
0.85,0.78,3,165,,marketing,medium
0.98,0.53,5,186,,marketing,low
0.14,0.73,5,273,,sales,low
0.2,0.54,5,162,,sales,low
0.9,0.97,3,141,,sales,low
0.51,0.96,5,268,,sales,low
0.63,0.77,3,176,,sales,low
0.83,0.88,3,223,,sales,low
0.67,0.72,4,218,,sales,low
0.96,0.52,4,228,,sales,low
0.69,0.75,3,204,,sales,low
0.69,0.9,4,148,,sales,low
0.64,0.94,3,221,,sales,low
0.62,0.48,4,271,,sales,low
0.55,0.75,3,191,,sales,low
0.98,0.51,4,223,,sales,low
0.83,0.78,5,250,,sales,low
0.73,0.77,3,230,,sales,low
0.58,0.86,3,226,,sales,low
0.52,0.67,4,182,,sales,medium
0.91,0.7,3,195,,sales,medium
0.72,0.64,3,231,,accounting,medium
0.7,0.74,3,224,,accounting,medium
0.86,0.92,4,229,,accounting,medium
0.82,0.57,2,158,,hr,medium
0.83,0.78,4,242,,hr,medium
0.99,0.64,3,183,,hr,medium
0.88,0.58,5,213,,hr,medium
0.68,0.74,4,263,,technical,medium
0.9,0.49,3,237,,technical,medium
0.59,0.67,6,126,,technical,medium
0.76,0.71,6,168,,technical,high
0.23,0.63,5,151,,technical,low
0.8,0.85,4,239,,technical,medium
0.62,0.49,4,174,,technical,medium
0.28,0.46,5,277,,technical,medium
0.81,0.97,3,133,,technical,medium
0.64,0.91,4,150,,technical,low
0.76,0.6,5,244,,technical,low
0.79,0.87,3,232,,support,low
0.72,0.91,3,267,,support,low
0.22,0.59,5,162,,support,low
0.18,0.73,5,228,,support,low
0.91,0.49,2,180,,support,low
0.69,0.63,2,252,,support,low
0.91,0.66,5,212,,support,low
0.67,0.84,4,224,,support,low
0.98,0.62,2,240,,support,low
0.69,0.62,4,183,,support,low
0.96,0.74,5,160,,support,low
0.69,0.68,4,225,,technical,low
0.65,0.68,3,268,,technical,low
0.7,0.75,3,221,,technical,low
0.48,0.94,3,173,,management,low
0.48,0.51,4,103,,IT,low
0.16,0.89,4,196,,IT,low
0.72,0.97,3,239,,IT,low
0.91,0.71,3,171,,IT,low
0.74,0.54,3,243,,IT,medium
0.56,0.56,2,153,,product_mng,medium
0.56,0.41,6,142,,product_mng,medium
0.88,0.55,5,168,,product_mng,medium
0.86,0.9,5,180,,product_mng,medium
0.66,0.84,4,186,,IT,medium
0.41,0.45,3,236,,RandD,medium
0.68,0.83,5,267,,RandD,medium
0.59,0.47,3,129,,RandD,medium
0.52,0.78,3,181,,RandD,medium
0.3,0.54,2,99,,RandD,medium
0.44,0.67,5,170,,marketing,medium
0.75,0.64,3,195,,sales,high
0.23,0.94,4,149,,accounting,low
0.34,0.46,6,132,,support,medium
0.52,0.59,3,164,,technical,medium
0.79,0.83,4,250,,management,medium
0.5,0.77,3,204,,marketing,medium
0.89,0.65,3,210,,marketing,low
0.84,0.52,6,98,,marketing,low
0.26,0.47,3,241,,sales,low
0.57,0.96,5,203,,sales,low
0.14,0.99,3,257,,sales,low
0.94,0.62,5,201,,sales,low
0.3,0.58,2,124,,sales,low
0.29,0.43,6,175,,sales,low
0.82,0.75,3,161,,sales,low
0.62,0.75,4,183,,sales,low
0.64,0.99,5,262,,sales,low
0.17,0.52,4,184,,sales,low
0.75,0.56,3,207,,sales,low
0.49,0.73,4,185,,sales,low
0.84,0.58,4,180,,sales,low
0.48,0.96,4,224,,sales,low
0.54,0.53,3,184,,sales,low
0.76,0.99,5,252,,sales,low
0.77,0.84,4,196,,sales,low
0.95,0.97,4,203,,sales,low
0.72,0.83,4,181,,sales,low
0.74,0.67,4,148,,accounting,medium
0.9,0.55,4,211,,accounting,medium
0.67,0.55,3,246,,accounting,medium
0.97,0.55,4,258,,hr,medium
0.55,0.59,3,231,,hr,medium
0.32,0.95,2,184,,hr,medium
0.4,0.42,3,146,,hr,medium
0.66,0.54,2,136,,technical,low
0.7,0.77,4,266,,technical,low
0.69,0.89,2,220,,technical,low
0.72,0.57,2,248,,technical,low
0.21,0.65,3,183,,technical,low
0.91,0.9,3,169,,technical,low
0.72,0.71,3,132,,technical,low
0.96,0.72,3,197,,technical,low
